price_series,horizon,estimation_window,abnormal,return_type,label,n_events,car,ci_low,ci_high,p_value,significant
coinbase,180,"(-250, -31)",True,log,coinbase/180d/log/abn/-250..-31,3,0.06436365454232613,-1.8498808943777632,1.9786082034624153,0.8982336992074161,False
binance,30,"(-120, -31)",True,log,binance/30d/log/abn/-120..-31,2,0.07082334101540218,-1.3030454892460834,1.4446921712768879,0.6308317467518855,False
binance,30,"(-250, -31)",True,simple,binance/30d/simple/abn/-250..-31,2,0.08297290756423599,-1.001996716529015,1.167942531657487,0.5091350969251714,False
binance,90,"(-250, -31)",True,log,binance/90d/log/abn/-250..-31,2,0.08454234337033267,-4.847955622734529,5.0170403094751945,0.8634868790488539,False
bitstamp,90,"(-250, -31)",True,simple,bitstamp/90d/simple/abn/-250..-31,4,0.08598063670420675,-0.6822158049635241,0.8541770783719376,0.7452706253583523,False
coinbase,90,"(-250, -31)",False,log,coinbase/90d/log/raw/none,3,0.08627793746034722,-0.3806775763557364,0.5532334512764309,0.509976262510523,False
stitched,90,"(-250, -31)",True,simple,stitched/90d/simple/abn/-250..-31,4,0.08633441648369788,-0.6823790065962861,0.8550478395636819,0.7444418913815463,False
binance,30,"(-250, -31)",True,log,binance/30d/log/abn/-250..-31,2,0.09062658709156987,-1.1291219123899796,1.3103750865731194,0.5183124141150369,False
bitstamp,90,"(-120, -31)",True,log,bitstamp/90d/log/abn/-120..-31,4,0.10484281157750101,-0.8610313241231414,1.0707169472781435,0.7525631528676886,False
stitched,90,"(-120, -31)",True,log,stitched/90d/log/abn/-120..-31,4,0.10573635348383743,-0.8615158037246575,1.0729885106923325,0.7508997222208071,False
coinbase,90,"(-250, -31)",False,simple,coinbase/90d/simple/raw/none,3,0.11172945280531525,-0.3775951640687335,0.601054069679364,0.42946738320773664,False
binance,30,"(-250, -31)",False,log,binance/30d/log/raw/none,2,0.1189983835636017,0.04170368086269878,0.19629308626450465,0.032515846151584385,True
bitstamp,90,"(-250, -31)",True,log,bitstamp/90d/log/abn/-250..-31,4,0.12045229119107763,-0.6768900155155971,0.9177945978977523,0.6635678915636001,False
stitched,90,"(-250, -31)",True,log,stitched/90d/log/abn/-250..-31,4,0.12087504470089594,-0.6772233968688949,0.9189734862706868,0.6627885641466409,False
binance,180,"(-250, -31)",True,log,binance/180d/log/abn/-250..-31,2,0.12677468117862417,-9.56136294576272,9.814912308119968,0.8951101836558565,False
binance,30,"(-250, -31)",False,simple,binance/30d/simple/raw/none,2,0.13412097200860706,0.03836998147309863,0.22987196254411552,0.035731765282356276,True
binance,90,"(-250, -31)",False,log,binance/90d/log/raw/none,2,0.16782729430436127,-1.4110159780250588,1.7466705666337814,0.40573199253097425,False
coinbase,365,"(-120, -31)",True,simple,coinbase/365d/simple/abn/-120..-31,3,0.17505856114463558,-4.215453129255818,4.565570251545089,0.8795748106339267,False
binance,90,"(-250, -31)",False,simple,binance/90d/simple/raw/none,2,0.1977312740942309,-1.4266888227387537,1.8221513709272157,0.3653887860951721,False
binance,365,"(-120, -31)",True,simple,binance/365d/simple/abn/-120..-31,2,0.227718689618005,-22.187508114285922,22.642945493521932,0.9182746869192946,False
binance,365,"(-90, -11)",True,log,binance/365d/log/abn/-90..-11,2,0.2285120180893374,-28.40986303971236,28.866887075891032,0.9356756825286184,False
binance,180,"(-250, -31)",False,log,binance/180d/log/raw/none,2,0.2924293638056472,-2.7252522238680728,3.310110951479367,0.4342422135163222,False
bitstamp,90,"(-250, -31)",False,log,bitstamp/90d/log/raw/none,4,0.3016431309039507,-0.4242578171167972,1.0275440789246986,0.27780039061196665,False
stitched,90,"(-250, -31)",False,log,stitched/90d/log/raw/none,4,0.3016978773287855,-0.4243814167725052,1.0277771714300763,0.27782529109365456,False
coinbase,365,"(-120, -31)",True,log,coinbase/365d/log/abn/-120..-31,3,0.3217582529893992,-4.692516216352631,5.33603272233143,0.8083890415692001,False
stitched,90,"(-250, -31)",False,simple,stitched/90d/simple/raw/none,4,0.3272187338676374,-0.4055446913547665,1.0599821590900413,0.2503908695198064,False
bitstamp,90,"(-250, -31)",False,simple,bitstamp/90d/simple/raw/none,4,0.3274060583345193,-0.4050782113429936,1.0598903280120322,0.2500352306988061,False
coinbase,180,"(-250, -31)",False,log,coinbase/180d/log/raw/none,3,0.33193110912796114,-0.28355570495902777,0.94741792321495,0.14609374374972167,False
bitstamp,180,"(-90, -11)",True,log,bitstamp/180d/log/abn/-90..-11,4,0.3396814617331652,-2.0071818228389167,2.686544746305247,0.6764069782925585,False
stitched,180,"(-90, -11)",True,log,stitched/180d/log/abn/-90..-11,4,0.3405030401966745,-2.005987605700285,2.6869936860936336,0.6756458615239392,False
binance,180,"(-250, -31)",False,simple,binance/180d/simple/raw/none,2,0.3534125500947638,-2.6972615206615274,3.4040866208510545,0.37989442900811554,False
bitstamp,180,"(-90, -11)",True,simple,bitstamp/180d/simple/abn/-90..-11,4,0.3684227451025862,-2.3719065345850385,3.1087520247902107,0.6976068181072699,False
stitched,180,"(-90, -11)",True,simple,stitched/180d/simple/abn/-90..-11,4,0.3688189550721057,-2.3703644863458493,3.108002396490061,0.6971894346804551,False
